,model_version,learning_rate,final_learning_rate,batch_size,max_val_accuracy,max_val_accuracy_epoch,max_val_top_5,max_val_top_5_epoch,max_val_top_10,max_val_top_10_epoch,model_md5
0,2,0.0005,5e-06,512,0.3467516005039215,42,0.596942663192749,44,0.7006369233131409,34,2bb5771b20f50712812c477c033322bb
1,2,0.0001,1e-06,512,0.2978343963623047,139,0.5454776883125305,124,0.6608917117118835,122,e87270b8f82cef251fcba13788528976
2,2,0.0005,5e-06,1024,0.3342675268650055,54,0.5801274180412292,46,0.6927388310432434,46,d69625329ea388c4e776cd785e3e1073
3,1,0.0001,1e-06,256,0.08866242319345474,23,0.2142675220966339,41,0.29910826683044434,42,936ae41b7ab444972bc94a7c807e6e05
4,1,5e-05,5e-07,512,0.0873885378241539,45,0.20713375508785248,65,0.2937579751014709,63,f971cc57667aeff83956afd8e4a02300
5,3,0.0001,1e-06,1024,0.222675159573555,193,0.4321019053459168,213,0.5521019101142883,210,5c5df37805e5ddc495c5b60689ee8fae
6,1,5e-05,5e-07,256,0.08840764313936234,47,0.2135031819343567,66,0.2960509657859802,64,5cab677778b0a690335ab809ee757bd0
7,1,0.001,1e-05,256,0.2043312042951584,75,0.4326114654541016,77,0.5628025531768799,75,ccdc2e482aa6f4228c8ef4cba8129168
8,1,0.0001,1e-06,512,0.14878980815410614,235,0.325095534324646,253,0.4466241896152496,253,ccca49d5ef3474ee55b29ed40d4a9eee
9,2,0.0005,5e-06,256,0.3536305725574493,56,0.596687912940979,33,0.706242024898529,30,8efb479c99f3f557038010f4fb047737
10,0,0.001,1e-05,1024,0.31847134232521057,101,0.5663694143295288,82,0.6759235858917236,91,f9b11043a77fcb7d4abcc2f8b2902298
11,3,0.001,1e-05,256,0.28917196393013,65,0.5329936146736145,67,0.6476433277130127,67,a2498c5f712d0f9cb1f41d52eec15c70
12,3,0.0005,5e-06,512,0.2830573320388794,80,0.5166878700256348,62,0.6282802820205688,58,c763f78df68977bc9f559fa4aa04fa33
13,0,0.0005,5e-06,256,0.3151592314243317,76,0.5574522018432617,78,0.6723566651344299,67,f34362bf372c73cb8d270e93eda5d992
14,1,0.0005,5e-06,256,0.20840764045715326,106,0.4359235763549805,104,0.5610191226005554,101,5a69b7a907b7c92f8609fd3978106db0
15,2,0.0001,1e-06,256,0.3110828101634979,107,0.5569427013397217,102,0.6728662252426147,109,d3b8e6701334240830c202e10945d6b3
16,2,5e-05,5e-07,512,0.28178343176841736,255,0.524840772151947,275,0.6394904255867004,248,c70a7b734cb401fbbe8f27bd7b44e1cb
17,3,5e-05,5e-07,1024,0.20229299366474152,354,0.40305733680725103,350,0.5261146426200867,373,226a064c4bd977f622e7090bcb698611
18,2,5e-05,5e-07,1024,0.2736305594444275,308,0.5075159072875977,324,0.6292993426322937,304,6b1233ca2c35a97dfc7096904ec7e1ba
19,0,0.0001,1e-06,512,0.2639490365982056,280,0.5103184580802917,297,0.6295541524887085,300,2c2b5cd31e20a8f911f0482d90221d2b
20,1,5e-05,5e-07,1024,0.08789809048175813,56,0.20305731892585754,74,0.2896815240383148,75,9de5de59c7697a841404c329f0a1ed50
21,1,0.001,1e-05,1024,0.21885350346565247,120,0.4524840712547302,130,0.57834392786026,87,c5dfee1071feaea06f4de968fb223378
22,3,0.0001,1e-06,256,0.2499363124370575,169,0.4664968252182007,146,0.5785987377166748,169,feaf8ba5688a8c669c96f46d21e607aa
23,3,0.0005,5e-06,1024,0.28382164239883423,112,0.5202547907829285,70,0.6303184628486633,70,63a1bd7a686570807d2b055b84e5fe94
24,0,0.0001,1e-06,256,0.2741401195526123,208,0.5245859622955322,218,0.6351592540740967,226,8f2e0905b8b7cad4312dd8ad2974e8e8
25,2,0.001,1e-05,512,0.35668790340423584,45,0.603057324886322,27,0.7110828161239624,42,42e900956c0a8cb09d72c383a143b3d2
26,3,0.0001,1e-06,512,0.2471337616443634,233,0.4583439528942108,232,0.5724840760231018,172,1ae6ced0a78721ae235997230e5136e5
27,2,5e-05,5e-07,256,0.2861146628856659,160,0.5271337628364563,180,0.6478980779647827,180,f9397e61fb2506baa99281feebaaa5a8
28,2,0.001,1e-05,1024,0.3526114523410797,52,0.5954140424728394,34,0.7021656036376953,27,e5b88e80fa5d6572dab87c4eeba90991
29,0,5e-05,5e-07,1024,0.21554140746593475,489,0.4315923452377319,508,0.5561783313751221,501,0bf18bd89a45012f84d6bc240e5acb31
30,3,0.001,1e-05,512,0.2937579751014709,116,0.5301910638809204,58,0.6412738561630249,63,db6e80609c3d99728811a647a08bc03a
31,0,0.0005,5e-06,1024,0.3057324886322021,133,0.5510827898979187,88,0.6634395122528076,80,142e09d31e77bd839511e15aed237eeb
32,3,0.0005,5e-06,256,0.2812738716602325,64,0.5118471384048462,64,0.631592333316803,42,df87fe365c8a3d9c1e001e2adcc08046
33,2,0.001,1e-05,256,0.3472611606121063,65,0.5964331030845642,35,0.703439474105835,23,10d5af9b196ace028780adc7ed864969
34,0,0.001,1e-05,256,0.3166879117488861,54,0.5630573034286499,50,0.6774522066116333,53,c7081891380355ddf827d6cae09f67e7
35,3,5e-05,5e-07,512,0.2078980952501297,250,0.41452229022979736,262,0.5388535261154175,268,ec2f75511a2c4d0e2e19590336a92faf
36,1,0.0001,1e-06,1024,0.1442038267850876,320,0.3289172053337097,321,0.4438216686248779,322,fa66116eb603333fb0d361185a5326df
37,0,5e-05,5e-07,256,0.2496815323829651,376,0.4942675232887268,380,0.6073885560035706,394,6b3a2f311ee98f6847c93bf14efa070d
38,2,0.0001,1e-06,1024,0.2935031950473785,210,0.5324840545654297,199,0.6509554386138916,176,e97c67210d4140da877796b173ecca3c
39,0,0.0005,5e-06,512,0.29936304688453674,53,0.5617834329605103,70,0.6736305952072144,70,cc1c53ef874b4c102ca4fca6c38a26b1
40,0,5e-05,5e-07,512,0.239999994635582,458,0.4731210172176361,459,0.5900636911392212,477,46e3727f5fdee2bce17016390e4b2072
41,3,5e-05,5e-07,256,0.2231847196817398,212,0.4331210255622864,229,0.5538853406906128,225,360354d7e1a23d606c2c559ca8a61d2a
42,3,0.001,1e-05,1024,0.2861146628856659,79,0.5281528830528259,55,0.644076406955719,46,00036601a0fa42b769cc406dfa12b01b
43,1,0.001,1e-05,512,0.2140127420425415,107,0.4448407590389252,109,0.5727388262748718,114,a7944bb9dbd9dd6b3160681841b5922e
44,1,0.0005,5e-06,1024,0.19796177744865415,143,0.4206369519233704,152,0.5515923500061035,152,81e8ba2d589e6c50fc9e586312d64e88
45,0,0.0001,1e-06,1024,0.25375795364379883,315,0.4912101924419403,329,0.609171986579895,328,d7ed8aba9c7c3b2f603d1c224c5b8527
46,0,0.001,1e-05,512,0.32101911306381226,107,0.5709553956985474,54,0.6807643175125122,66,80a49733f2f79ef08caec25ed4c0cf5c
47,1,0.0005,5e-06,512,0.2038216590881348,158,0.4275159239768982,168,0.553121030330658,170,c0eac05f7e151986f83a80925533f33a
