,model_version,learning_rate,final_learning_rate,batch_size,min_val_loss,min_val_loss_epoch,min_val_valor_model_mean_absolute_error,min_val_valor_model_mean_absolute_error_epoch,max_val_output_rst_top_5,max_val_output_rst_top_5_epoch,max_val_output_rst_top_10,max_val_output_rst_top_10_epoch,model_md5
0,1,0.0001,1e-06,1024,4.069727897644043,990,0.5147413611412048,71,0.5444586277008057,617,0.6601274013519287,640,e56e72588630930ca39f64bb546a67e9
1,0,0.0001,1e-06,256,3.8122179508209233,400,0.4947787523269653,12,0.5492993593215942,304,0.6614012718200684,252,41d98d54f61df7eeddd71feb316e727a
2,0,0.0005,5e-06,512,3.7781732082366943,98,0.4860597848892212,8,0.5503184795379639,83,0.6588535308837891,54,8d18458569e740b1a5c7a80f2d416a3b
3,1,0.0005,5e-06,1024,3.948208093643189,107,0.5146319866180421,19,0.5513375997543335,119,0.656560480594635,84,ecd9bb7e2078aa9b4dca1631503d2706
4,2,0.0001,1e-06,256,4.043958187103272,758,0.5141021609306335,16,0.5380891561508179,319,0.6507006287574768,262,e5874ae36e52ae6c8190d5df1267bfab
5,2,0.0005,5e-06,1024,4.0155181884765625,174,0.5109365582466125,19,0.5403821468353271,127,0.6494267582893372,113,9a496c6f1f5ea8e6fc85c461078040fb
6,2,0.0001,1e-06,512,4.152777671813965,664,0.5140064954757689,31,0.5370700359344482,609,0.6522293090820312,426,19524697e1ae7675f83199dfae476d01
7,2,0.001,1e-05,1024,3.95609974861145,125,0.5058600902557373,12,0.5388535261154175,46,0.650191068649292,46,ab6e22d824e07d489c107ab61a460a4a
8,0,0.0005,5e-06,256,3.758439779281616,65,0.4996275007724762,5,0.5541401505470276,51,0.6598725914955139,48,5ab787016f41cd9dddbd5dc5a1489aea
9,1,0.0005,5e-06,512,3.8701891899108887,96,0.5147035717964172,7,0.5503184795379639,83,0.6591082811355591,54,66e5411234464d9033e34cfe82dd15fc
10,1,0.001,1e-05,1024,3.8788902759552,61,0.5136138200759888,8,0.5521019101142883,67,0.6547770500183105,33,4d0c98dc691c20b3f650f9bd5ae7480b
11,1,0.0005,5e-06,256,3.8351018428802486,74,0.5104461908340454,7,0.5543949007987976,51,0.6596178412437439,32,25887d8f239a6159e0e676f7d40c8909
12,2,0.0001,1e-06,1024,4.238192081451416,999,0.5166625380516052,66,0.5322293043136597,989,0.6484076380729675,952,983bcd387693e6687a574397cd639b29
13,0,0.0001,1e-06,1024,3.9538545608520512,989,0.4996607601642609,36,0.5447133779525757,815,0.6601274013519287,640,dacf91869232cc4caa8b150f93326342
14,0,0.001,1e-05,1024,3.808070182800293,72,0.4907345175743103,12,0.5523566603660583,67,0.6552866101264954,92,d9b1094b0552bae002ef0c259e181035
15,0,0.001,1e-05,512,3.7779948711395264,43,0.4907747805118561,8,0.5515923500061035,34,0.6593630313873291,31,4d539b2ad92cc102975f84d027333a68
16,1,0.0001,1e-06,512,3.9978532791137695,547,0.5161887407302856,37,0.547261118888855,295,0.6598725914955139,324,97c396599b7da488a8958f44d799274c
17,2,0.0005,5e-06,256,3.871547937393189,214,0.5073147416114807,7,0.5385987162590027,96,0.6529936194419861,41,13b5907b84e3b2bc0c9a5e5b4739eeed
18,2,0.0005,5e-06,512,3.9051976203918457,379,0.5041952729225159,9,0.5373248457908629,138,0.6529936194419861,76,546ed52c3326a946d4bf1068ad8085e9
19,1,0.001,1e-05,512,3.8469436168670654,37,0.5126422047615051,9,0.5510827898979187,34,0.6596178412437439,31,663c5d4777e160d50e7773e3d1857398
20,1,0.001,1e-05,256,3.813929557800293,30,0.5077133774757385,3,0.5498089194297789,24,0.6593630313873291,26,cabf2bd1c0bd161cc8df404b892964dd
21,0,0.0001,1e-06,512,3.865960121154785,599,0.4980979859828949,23,0.547261118888855,295,0.6598725914955139,347,23b395d1327fa7372615ed87e9e99a3e
22,0,0.001,1e-05,256,3.738809823989868,36,0.4918119609355927,4,0.5500636696815491,24,0.6601274013519287,26,1ad6768c985435a57e9767b76c5d1ee9
23,2,0.001,1e-05,512,3.8755040168762207,183,0.5026927590370178,9,0.5373248457908629,34,0.6524840593338013,32,4c0073eb21cf63a68ab7e9f33d129dac
24,2,0.001,1e-05,256,3.854101657867432,117,0.5077326297760011,7,0.5365605354309082,39,0.6527388691902161,38,ab0ed21ae94ca3af773071482c41e7e0
25,1,0.0001,1e-06,256,3.95010757446289,399,0.5136746168136597,23,0.5492993593215942,304,0.6608917117118835,252,a07d15f5be2cbfb702d7431b8869dfeb
26,0,0.0005,5e-06,1024,3.833458423614502,126,0.4919158518314362,14,0.5515923500061035,100,0.656560480594635,77,83dc264c6e0b2346f3e7d133f0e2f9fd
