epoch,loss,lr,output_rst_accuracy,output_rst_loss,output_rst_top_10,output_rst_top_5,valor_model_loss,valor_model_mean_absolute_error
0,6.685295104980469,0.00099901,0.0829148069024086,5.170768737792969,0.2883925437927246,0.2039492130279541,1.5145257711410522,0.8874697089195251
1,5.475646495819092,0.00099802,0.1738777756690979,5.017779350280762,0.4426490366458893,0.3433883488178253,0.4578668773174286,0.5349563956260681
2,5.179512977600098,0.0009970301,0.18566927313804626,4.801477909088135,0.49848705530166626,0.38522008061408997,0.3780350387096405,0.48438534140586853
3,4.7129902839660645,0.0009960401,0.20123529434204102,4.395092487335205,0.5588483214378357,0.4328227937221527,0.3178979456424713,0.44409212470054626
4,4.111993789672852,0.0009950501,0.2607230842113495,3.8385331630706787,0.6336837410926819,0.5100914239883423,0.2734612822532654,0.4132145643234253
5,3.716445207595825,0.0009940601,0.30286675691604614,3.4815030097961426,0.6950743794441223,0.5754437446594238,0.23494073748588562,0.38284146785736084
6,3.5293221473693848,0.0009930701,0.31871354579925537,3.3352551460266113,0.7159746885299683,0.5954705476760864,0.19406619668006897,0.347182035446167
7,3.403975009918213,0.0009920801,0.3295068144798279,3.2418079376220703,0.7227438688278198,0.6057023406028748,0.16216745972633362,0.31662240624427795
8,3.3001179695129395,0.0009910901,0.33830365538597107,3.166172981262207,0.7288267612457275,0.613625705242157,0.13394469022750854,0.2857729494571686
9,3.226224899291992,0.0009901001,0.3460710644721985,3.1092751026153564,0.7338178753852844,0.6208940148353577,0.11695060133934021,0.26663872599601746
10,3.151430368423462,0.0009891101,0.3509061932563782,3.05530047416687,0.7373740673065186,0.6276008486747742,0.09613070636987686,0.24015575647354126
11,3.1056859493255615,0.0009881201,0.35390084981918335,3.015808582305908,0.7422403693199158,0.6312817931175232,0.08987710624933243,0.23284678161144257
12,3.057575225830078,0.0009871301,0.35773777961730957,2.981142282485962,0.744486391544342,0.6367408037185669,0.07643323391675949,0.2140386551618576
13,3.011472702026367,0.0009861401,0.36360234022140503,2.948476791381836,0.7486352324485779,0.6389244198799133,0.06299571692943573,0.19306771457195282
14,2.983449935913086,0.0009851501,0.36485010385513306,2.920539617538452,0.7504757046699524,0.6433539986610413,0.0629107728600502,0.19502319395542145
15,2.957090139389038,0.0009841601,0.36681535840034485,2.897923707962036,0.7506940960884094,0.6426053643226624,0.05916574224829674,0.18856826424598694
16,2.9539425373077393,0.0009831701,0.3697788417339325,2.8804476261138916,0.7520978450775146,0.6463798880577087,0.0734948217868805,0.2120620310306549
17,2.912895441055298,0.0009821801,0.37140095233917236,2.8601367473602295,0.7513179779052734,0.6476900577545166,0.05275873839855194,0.17888998985290527
18,2.8690595626831055,0.0009811901,0.3751130700111389,2.832003116607666,0.7568081617355347,0.650840699672699,0.037055980414152145,0.1492912322282791
19,2.8542749881744385,0.0009802001,0.37498828768730164,2.824039936065674,0.7577440142631531,0.6528683304786682,0.03023640066385269,0.13437336683273315
20,2.8478074073791504,0.0009792101,0.3743644058704376,2.811875104904175,0.7570265531539917,0.6525875926017761,0.035932205617427826,0.14849770069122314
21,2.819247245788574,0.0009782201,0.37670400738716125,2.7883520126342773,0.7584927082061768,0.6568924188613892,0.030895285308361053,0.13708536326885223
22,2.8034231662750244,0.0009772301,0.3806033134460449,2.7730724811553955,0.7627039551734924,0.6567052602767944,0.03035011887550354,0.1360362321138382
23,2.793907642364502,0.00097624015,0.38125839829444885,2.767167568206787,0.7606763243675232,0.6566740274429321,0.026738878339529037,0.1275060921907425
24,2.779115676879883,0.00097525015,0.3825373649597168,2.7494826316833496,0.7636397480964661,0.6576722860336304,0.029633061960339546,0.13303162157535553
25,2.753278970718384,0.00097426015,0.38643667101860046,2.727600336074829,0.7668527960777283,0.6611348390579224,0.025679273530840874,0.12500645220279694
26,2.7531659603118896,0.00097327016,0.38531365990638733,2.729567527770996,0.764606773853302,0.6606669425964355,0.02359730377793312,0.11920733749866486
27,2.747097969055176,0.00097228016,0.3849705159664154,2.7226078510284424,0.7641700506210327,0.6601366400718689,0.024489112198352814,0.12212841957807541
28,2.7321107387542725,0.00097129017,0.3863118886947632,2.7107858657836914,0.7658233642578125,0.6614155769348145,0.02132529765367508,0.1129041463136673
29,2.732318639755249,0.00097030017,0.38805878162384033,2.711129665374756,0.7644196152687073,0.6595439314842224,0.021189626306295395,0.11318089067935944
30,2.713163137435913,0.0009693102,0.3907414972782135,2.6957476139068604,0.766197681427002,0.6635680198669434,0.017415804788470268,0.10216350853443146
31,2.7041707038879395,0.0009683202,0.3896496891975403,2.689190149307251,0.7671023607254028,0.664316713809967,0.014981110580265522,0.09420774132013321
32,2.7000620365142822,0.0009673302,0.3898056447505951,2.683236837387085,0.7698474526405334,0.665346086025238,0.01682543382048607,0.10082054138183594
33,2.6925745010375977,0.0009663402,0.39464080333709717,2.6732022762298584,0.7712823748588562,0.6673113703727722,0.01937233656644821,0.1085498258471489
34,2.6857547760009766,0.0009653502,0.39261317253112793,2.6613309383392334,0.7731852531433105,0.667779266834259,0.024423357099294662,0.12072253227233887
35,2.7095537185668945,0.0009643602,0.39398571848869324,2.673511028289795,0.7680693864822388,0.6637863516807556,0.036042917519807816,0.14861270785331726
