epoch,loss,lr,output_rst_accuracy,output_rst_loss,output_rst_top_10,output_rst_top_5,valor_model_loss,valor_model_mean_absolute_error
0,8.457100868225098,0.000499505,0.03876722604036331,8.005145072937012,0.11414024233818054,0.08422058075666428,0.451965868473053,0.49149593710899353
1,6.751264572143555,0.00049901,0.1529567688703537,6.457046031951904,0.33668360114097595,0.2763189375400543,0.29420992732048035,0.422325074672699
2,5.609813690185547,0.00049851503,0.24084238708019257,5.332951068878174,0.5044962167739868,0.4205560088157654,0.27686694264411926,0.4097785949707031
3,5.096656799316406,0.00049802003,0.2994292080402374,4.833412170410156,0.5724266767501831,0.4915784001350403,0.26325082778930664,0.40035170316696167
4,4.731017112731934,0.00049752503,0.34759706258773804,4.478954792022705,0.6170865893363953,0.5408493280410767,0.25206291675567627,0.3922879993915558
5,4.446913719177246,0.00049703004,0.3852011561393738,4.2046966552734375,0.6468121409416199,0.5757465958595276,0.2422175258398056,0.38502562046051025
6,4.218877792358398,0.00049653504,0.4150668978691101,3.9859049320220947,0.6678611040115356,0.6012802124023438,0.23297123610973358,0.3777349889278412
7,4.027270793914795,0.00049604004,0.4402323067188263,3.802847385406494,0.6843792796134949,0.6210212707519531,0.22442477941513062,0.3707938492298126
8,3.8673622608184814,0.00049554504,0.46070051193237305,3.651451587677002,0.6968841552734375,0.6367998719215393,0.2159116417169571,0.3636781871318817
9,3.729231119155884,0.00049505004,0.47862210869789124,3.52095627784729,0.7079825401306152,0.6501197814941406,0.20827075839042664,0.35689690709114075
